JDTDB;Calendar Date (TDB);X;Y;Z;VX;VY;VZ
2465315.25; A.D. 2037-Sep-13 18:00:00.0000;1.340595861;0.444530169;-0.023522863;-0.003868999;0.014478543;0.000398259
2465315.333; A.D. 2037-Sep-13 20:00:00.0000;1.340272956;0.445736552;-0.023489666;-0.003880725;0.014474649;0.000398465
2465315.417; A.D. 2037-Sep-13 22:00:00.0000;1.339949074;0.44694261;-0.023456452;-0.003892447;0.014470745;0.00039867
2465315.5; A.D. 2037-Sep-14 00:00:00.0000;1.339624215;0.448148342;-0.023423221;-0.003904165;0.014466831;0.000398875
2465315.583; A.D. 2037-Sep-14 02:00:00.0000;1.33929838;0.449353748;-0.023389973;-0.003915878;0.014462907;0.00039908
2465315.667; A.D. 2037-Sep-14 04:00:00.0000;1.338971569;0.450558826;-0.023356708;-0.003927586;0.014458973;0.000399284
2465315.75; A.D. 2037-Sep-14 06:00:00.0000;1.338643782;0.451763577;-0.023323425;-0.003939289;0.014455029;0.000399488
2465315.833; A.D. 2037-Sep-14 08:00:00.0000;1.338315021;0.452967998;-0.023290126;-0.003950988;0.014451075;0.000399692
2465315.917; A.D. 2037-Sep-14 10:00:00.0000;1.337985285;0.454172089;-0.02325681;-0.003962682;0.014447111;0.000399895
2465316; A.D. 2037-Sep-14 12:00:00.0000;1.337654574;0.455375849;-0.023223477;-0.003974371;0.014443137;0.000400098
2465316.083; A.D. 2037-Sep-14 14:00:00.0000;1.33732289;0.456579278;-0.023190127;-0.003986056;0.014439154;0.000400301
2465316.167; A.D. 2037-Sep-14 16:00:00.0000;1.336990232;0.457782374;-0.02315676;-0.003997735;0.01443516;0.000400503
2465316.25; A.D. 2037-Sep-14 18:00:00.0000;1.3366566;0.458985138;-0.023123377;-0.00400941;0.014431157;0.000400706
2465316.333; A.D. 2037-Sep-14 20:00:00.0000;1.336321997;0.460187567;-0.023089976;-0.004021081;0.014427144;0.000400907
2465316.417; A.D. 2037-Sep-14 22:00:00.0000;1.33598642;0.461389661;-0.023056559;-0.004032746;0.014423121;0.000401109
2465316.5; A.D. 2037-Sep-15 00:00:00.0000;1.335649872;0.46259142;-0.023023125;-0.004044407;0.014419088;0.00040131
2465316.583; A.D. 2037-Sep-15 02:00:00.0000;1.335312353;0.463792842;-0.022989674;-0.004056063;0.014415045;0.000401511
2465316.667; A.D. 2037-Sep-15 04:00:00.0000;1.334973862;0.464993927;-0.022956206;-0.004067714;0.014410992;0.000401711
2465316.75; A.D. 2037-Sep-15 06:00:00.0000;1.334634401;0.466194674;-0.022922722;-0.004079361;0.01440693;0.000401911
2465316.833; A.D. 2037-Sep-15 08:00:00.0000;1.334293969;0.467395082;-0.022889221;-0.004091002;0.014402858;0.000402111
2465316.917; A.D. 2037-Sep-15 10:00:00.0000;1.333952567;0.46859515;-0.022855703;-0.004102639;0.014398775;0.000402311
2465317; A.D. 2037-Sep-15 12:00:00.0000;1.333610196;0.469794878;-0.022822169;-0.004114271;0.014394684;0.00040251
2465317.083; A.D. 2037-Sep-15 14:00:00.0000;1.333266855;0.470994264;-0.022788618;-0.004125898;0.014390582;0.000402709
2465317.167; A.D. 2037-Sep-15 16:00:00.0000;1.332922546;0.472193308;-0.022755051;-0.004137521;0.01438647;0.000402907
2465317.25; A.D. 2037-Sep-15 18:00:00.0000;1.332577269;0.473392009;-0.022721467;-0.004149138;0.014382349;0.000403105
2465317.333; A.D. 2037-Sep-15 20:00:00.0000;1.332231023;0.474590366;-0.022687867;-0.004160751;0.014378218;0.000403303
2465317.417; A.D. 2037-Sep-15 22:00:00.0000;1.33188381;0.475788378;-0.02265425;-0.004172358;0.014374077;0.000403501
2465317.5; A.D. 2037-Sep-16 00:00:00.0000;1.33153563;0.476986045;-0.022620617;-0.004183961;0.014369926;0.000403698
2465317.583; A.D. 2037-Sep-16 02:00:00.0000;1.331186484;0.478183365;-0.022586967;-0.004195559;0.014365766;0.000403895
2465317.667; A.D. 2037-Sep-16 04:00:00.0000;1.330836371;0.479380339;-0.022553301;-0.004207152;0.014361595;0.000404092
2465317.75; A.D. 2037-Sep-16 06:00:00.0000;1.330485292;0.480576964;-0.022519618;-0.004218741;0.014357415;0.000404288
2465317.833; A.D. 2037-Sep-16 08:00:00.0000;1.330133247;0.481773241;-0.02248592;-0.004230324;0.014353226;0.000404484
2465317.917; A.D. 2037-Sep-16 10:00:00.0000;1.329780238;0.482969168;-0.022452204;-0.004241902;0.014349026;0.000404679
2465318; A.D. 2037-Sep-16 12:00:00.0000;1.329426264;0.484164745;-0.022418473;-0.004253476;0.014344817;0.000404875
