     JDTDB;            Calendar Date (TDB);X;Y;Z
2464660.25; A.D. 2035-Nov-28 18:00:00.0000;0.404045329;0.900116746;-8.07337E-05
2464660.333; A.D. 2035-Nov-28 20:00:00.0000;0.402713133;0.90069784;-8.07797E-05
2464660.417; A.D. 2035-Nov-28 22:00:00.0000;0.401380069;0.901276999;-8.08245E-05
2464660.5; A.D. 2035-Nov-29 00:00:00.0000;0.40004614;0.90185422;-8.08683E-05
2464660.583; A.D. 2035-Nov-29 02:00:00.0000;0.39871135;0.902429502;-8.09109E-05
2464660.667; A.D. 2035-Nov-29 04:00:00.0000;0.397375701;0.903002844;-8.09525E-05
2464660.75; A.D. 2035-Nov-29 06:00:00.0000;0.396039196;0.903574245;-8.09929E-05
2464660.833; A.D. 2035-Nov-29 08:00:00.0000;0.394701838;0.904143702;-8.10323E-05
2464660.917; A.D. 2035-Nov-29 10:00:00.0000;0.39336363;0.904711216;-8.10705E-05
2464661; A.D. 2035-Nov-29 12:00:00.0000;0.392024576;0.905276784;-8.11077E-05
2464661.083; A.D. 2035-Nov-29 14:00:00.0000;0.390684678;0.905840405;-8.11438E-05
2464661.167; A.D. 2035-Nov-29 16:00:00.0000;0.389343938;0.906402077;-8.11787E-05
2464661.25; A.D. 2035-Nov-29 18:00:00.0000;0.388002361;0.9069618;-8.12126E-05
2464661.333; A.D. 2035-Nov-29 20:00:00.0000;0.386659949;0.907519571;-8.12454E-05
2464661.417; A.D. 2035-Nov-29 22:00:00.0000;0.385316706;0.908075391;-8.12771E-05
2464661.5; A.D. 2035-Nov-30 00:00:00.0000;0.383972633;0.908629256;-8.13078E-05
2464661.583; A.D. 2035-Nov-30 02:00:00.0000;0.382627735;0.909181167;-8.13373E-05
2464661.667; A.D. 2035-Nov-30 04:00:00.0000;0.381282014;0.909731121;-8.13658E-05
2464661.75; A.D. 2035-Nov-30 06:00:00.0000;0.379935473;0.910279117;-8.13932E-05
2464661.833; A.D. 2035-Nov-30 08:00:00.0000;0.378588116;0.910825154;-8.14196E-05
2464661.917; A.D. 2035-Nov-30 10:00:00.0000;0.377239945;0.911369231;-8.14449E-05
2464662; A.D. 2035-Nov-30 12:00:00.0000;0.375890963;0.911911346;-8.14691E-05
2464662.083; A.D. 2035-Nov-30 14:00:00.0000;0.374541174;0.912451499;-8.14923E-05
2464662.167; A.D. 2035-Nov-30 16:00:00.0000;0.37319058;0.912989687;-8.15144E-05
2464662.25; A.D. 2035-Nov-30 18:00:00.0000;0.371839185;0.91352591;-8.15355E-05
2464662.333; A.D. 2035-Nov-30 20:00:00.0000;0.370486991;0.914060166;-8.15555E-05
2464662.417; A.D. 2035-Nov-30 22:00:00.0000;0.369134001;0.914592454;-8.15745E-05
2464662.5; A.D. 2035-Dec-01 00:00:00.0000;0.36778022;0.915122773;-8.15925E-05
2464662.583; A.D. 2035-Dec-01 02:00:00.0000;0.366425648;0.915651121;-8.16095E-05
2464662.667; A.D. 2035-Dec-01 04:00:00.0000;0.365070291;0.916177498;-8.16254E-05
2464662.75; A.D. 2035-Dec-01 06:00:00.0000;0.36371415;0.916701902;-8.16404E-05
2464662.833; A.D. 2035-Dec-01 08:00:00.0000;0.362357229;0.917224332;-8.16543E-05
2464662.917; A.D. 2035-Dec-01 10:00:00.0000;0.360999531;0.917744786;-8.16673E-05
2464663; A.D. 2035-Dec-01 12:00:00.0000;0.359641059;0.918263264;-8.16793E-05
2464663.083; A.D. 2035-Dec-01 14:00:00.0000;0.358281816;0.918779764;-8.16903E-05
2464663.167; A.D. 2035-Dec-01 16:00:00.0000;0.356921805;0.919294285;-8.17003E-05
2464663.25; A.D. 2035-Dec-01 18:00:00.0000;0.355561029;0.919806826;-8.17094E-05
2464663.333; A.D. 2035-Dec-01 20:00:00.0000;0.354199491;0.920317386;-8.17175E-05
2464663.417; A.D. 2035-Dec-01 22:00:00.0000;0.352837194;0.920825963;-8.17247E-05
2464663.5; A.D. 2035-Dec-02 00:00:00.0000;0.351474142;0.921332557;-8.1731E-05
2464663.583; A.D. 2035-Dec-02 02:00:00.0000;0.350110336;0.921837166;-8.17363E-05
2464663.667; A.D. 2035-Dec-02 04:00:00.0000;0.348745782;0.922339788;-8.17407E-05
2464663.75; A.D. 2035-Dec-02 06:00:00.0000;0.347380481;0.922840424;-8.17442E-05
2464663.833; A.D. 2035-Dec-02 08:00:00.0000;0.346014436;0.923339072;-8.17468E-05
2464663.917; A.D. 2035-Dec-02 10:00:00.0000;0.344647651;0.92383573;-8.17485E-05
2464664; A.D. 2035-Dec-02 12:00:00.0000;0.343280129;0.924330398;-8.17494E-05
2464664.083; A.D. 2035-Dec-02 14:00:00.0000;0.341911872;0.924823074;-8.17493E-05
2464664.167; A.D. 2035-Dec-02 16:00:00.0000;0.340542885;0.925313758;-8.17485E-05
2464664.25; A.D. 2035-Dec-02 18:00:00.0000;0.339173169;0.925802448;-8.17467E-05
2464664.333; A.D. 2035-Dec-02 20:00:00.0000;0.337802728;0.926289143;-8.17442E-05
2464664.417; A.D. 2035-Dec-02 22:00:00.0000;0.336431566;0.926773842;-8.17408E-05
2464664.5; A.D. 2035-Dec-03 00:00:00.0000;0.335059684;0.927256544;-8.17365E-05
2464664.583; A.D. 2035-Dec-03 02:00:00.0000;0.333687087;0.927737248;-8.17315E-05
2464664.667; A.D. 2035-Dec-03 04:00:00.0000;0.332313778;0.928215953;-8.17257E-05
2464664.75; A.D. 2035-Dec-03 06:00:00.0000;0.330939758;0.928692657;-8.17191E-05
2464664.833; A.D. 2035-Dec-03 08:00:00.0000;0.329565032;0.92916736;-8.17118E-05
2464664.917; A.D. 2035-Dec-03 10:00:00.0000;0.328189603;0.929640062;-8.17037E-05
2464665; A.D. 2035-Dec-03 12:00:00.0000;0.326813474;0.930110759;-8.16948E-05
2464665.083; A.D. 2035-Dec-03 14:00:00.0000;0.325436647;0.930579452;-8.16852E-05
2464665.167; A.D. 2035-Dec-03 16:00:00.0000;0.324059126;0.93104614;-8.16749E-05
2464665.25; A.D. 2035-Dec-03 18:00:00.0000;0.322680915;0.931510822;-8.16639E-05
2464665.333; A.D. 2035-Dec-03 20:00:00.0000;0.321302015;0.931973496;-8.16522E-05
2464665.417; A.D. 2035-Dec-03 22:00:00.0000;0.31992243;0.932434162;-8.16398E-05
2464665.5; A.D. 2035-Dec-04 00:00:00.0000;0.318542164;0.932892818;-8.16267E-05
2464665.583; A.D. 2035-Dec-04 02:00:00.0000;0.317161219;0.933349464;-8.1613E-05
2464665.667; A.D. 2035-Dec-04 04:00:00.0000;0.315779598;0.933804098;-8.15987E-05
2464665.75; A.D. 2035-Dec-04 06:00:00.0000;0.314397305;0.93425672;-8.15837E-05
2464665.833; A.D. 2035-Dec-04 08:00:00.0000;0.313014343;0.934707329;-8.1568E-05
2464665.917; A.D. 2035-Dec-04 10:00:00.0000;0.311630714;0.935155924;-8.15518E-05
2464666; A.D. 2035-Dec-04 12:00:00.0000;0.310246422;0.935602503;-8.1535E-05
2464666.083; A.D. 2035-Dec-04 14:00:00.0000;0.30886147;0.936047066;-8.15176E-05
2464666.167; A.D. 2035-Dec-04 16:00:00.0000;0.307475861;0.936489612;-8.14997E-05
2464666.25; A.D. 2035-Dec-04 18:00:00.0000;0.306089599;0.93693014;-8.14812E-05
2464666.333; A.D. 2035-Dec-04 20:00:00.0000;0.304702685;0.937368649;-8.14622E-05
2464666.417; A.D. 2035-Dec-04 22:00:00.0000;0.303315124;0.937805138;-8.14426E-05
2464666.5; A.D. 2035-Dec-05 00:00:00.0000;0.301926918;0.938239606;-8.14225E-05
2464666.583; A.D. 2035-Dec-05 02:00:00.0000;0.30053807;0.938672053;-8.1402E-05
2464666.667; A.D. 2035-Dec-05 04:00:00.0000;0.299148584;0.939102477;-8.1381E-05
2464666.75; A.D. 2035-Dec-05 06:00:00.0000;0.297758463;0.939530877;-8.13595E-05
2464666.833; A.D. 2035-Dec-05 08:00:00.0000;0.29636771;0.939957253;-8.13376E-05
2464666.917; A.D. 2035-Dec-05 10:00:00.0000;0.294976328;0.940381604;-8.13152E-05
2464667; A.D. 2035-Dec-05 12:00:00.0000;0.293584319;0.940803928;-8.12924E-05
2464667.083; A.D. 2035-Dec-05 14:00:00.0000;0.292191688;0.941224226;-8.12692E-05
2464667.167; A.D. 2035-Dec-05 16:00:00.0000;0.290798437;0.941642495;-8.12457E-05
2464667.25; A.D. 2035-Dec-05 18:00:00.0000;0.289404569;0.942058736;-8.12217E-05
2464667.333; A.D. 2035-Dec-05 20:00:00.0000;0.288010087;0.942472947;-8.11974E-05
2464667.417; A.D. 2035-Dec-05 22:00:00.0000;0.286614995;0.942885128;-8.11728E-05
2464667.5; A.D. 2035-Dec-06 00:00:00.0000;0.285219296;0.943295278;-8.11479E-05
2464667.583; A.D. 2035-Dec-06 02:00:00.0000;0.283822992;0.943703395;-8.11226E-05
2464667.667; A.D. 2035-Dec-06 04:00:00.0000;0.282426087;0.94410948;-8.1097E-05
