JDTDB;Calendar Date (TDB);X;Y;Z;VX;VY;VZ
2465079.667; A.D. 2037-Jan-21 04:00:00.0000;-0.347804045;-0.269824353;0.009835926;0.011488533;-0.020976969;-0.002767989
2465079.75; A.D. 2037-Jan-21 06:00:00.0000;-0.346842487;-0.271569181;0.009605142;0.011588763;-0.020898853;-0.002770794
2465079.833; A.D. 2037-Jan-21 08:00:00.0000;-0.345872598;-0.273307486;0.009374129;0.011688504;-0.020820398;-0.002773527
2465079.917; A.D. 2037-Jan-21 10:00:00.0000;-0.344894417;-0.275039238;0.00914289;0.011787758;-0.020741609;-0.002776187
2465080; A.D. 2037-Jan-21 12:00:00.0000;-0.343907985;-0.276764411;0.008911433;0.011886524;-0.020662487;-0.002778776
2465080.083; A.D. 2037-Jan-21 14:00:00.0000;-0.342913343;-0.278482977;0.008679763;0.011984804;-0.020583035;-0.002781293
2465080.167; A.D. 2037-Jan-21 16:00:00.0000;-0.341910531;-0.280194908;0.008447886;0.012082598;-0.020503256;-0.002783739
2465080.25; A.D. 2037-Jan-21 18:00:00.0000;-0.34089959;-0.281900177;0.008215808;0.012179906;-0.020423152;-0.002786114
2465080.333; A.D. 2037-Jan-21 20:00:00.0000;-0.33988056;-0.283598758;0.007983535;0.012276728;-0.020342725;-0.002788418
2465080.417; A.D. 2037-Jan-21 22:00:00.0000;-0.338853482;-0.285290623;0.007751074;0.012373067;-0.020261978;-0.002790651
2465080.5; A.D. 2037-Jan-22 00:00:00.0000;-0.337818396;-0.286975745;0.007518429;0.012468921;-0.020180914;-0.002792814
2465080.583; A.D. 2037-Jan-22 02:00:00.0000;-0.336775342;-0.2886541;0.007285607;0.012564291;-0.020099535;-0.002794907
2465080.667; A.D. 2037-Jan-22 04:00:00.0000;-0.335724361;-0.290325659;0.007052613;0.012659178;-0.020017844;-0.00279693
2465080.75; A.D. 2037-Jan-22 06:00:00.0000;-0.334665493;-0.291990398;0.006819454;0.012753583;-0.019935842;-0.002798884
2465080.833; A.D. 2037-Jan-22 08:00:00.0000;-0.333598777;-0.293648291;0.006586134;0.012847506;-0.019853533;-0.002800768
2465080.917; A.D. 2037-Jan-22 10:00:00.0000;-0.332524255;-0.295299312;0.006352661;0.012940947;-0.019770918;-0.002802583
2465081; A.D. 2037-Jan-22 12:00:00.0000;-0.331441966;-0.296943435;0.006119039;0.013033907;-0.019688;-0.002804329
2465081.083; A.D. 2037-Jan-22 14:00:00.0000;-0.330351951;-0.298580637;0.005885275;0.013126387;-0.019604781;-0.002806007
2465081.167; A.D. 2037-Jan-22 16:00:00.0000;-0.329254248;-0.300210891;0.005651373;0.013218387;-0.019521264;-0.002807616
2465081.25; A.D. 2037-Jan-22 18:00:00.0000;-0.328148899;-0.301834172;0.005417341;0.013309907;-0.019437451;-0.002809157
2465081.333; A.D. 2037-Jan-22 20:00:00.0000;-0.327035944;-0.303450458;0.005183182;0.013400949;-0.019353343;-0.00281063
2465081.417; A.D. 2037-Jan-22 22:00:00.0000;-0.325915421;-0.305059722;0.004948904;0.013491512;-0.019268944;-0.002812035
2465081.5; A.D. 2037-Jan-23 00:00:00.0000;-0.324787372;-0.30666194;0.004714512;0.013581598;-0.019184256;-0.002813373
2465081.583; A.D. 2037-Jan-23 02:00:00.0000;-0.323651835;-0.30825709;0.004480011;0.013671206;-0.019099281;-0.002814643
2465081.667; A.D. 2037-Jan-23 04:00:00.0000;-0.32250885;-0.309845146;0.004245406;0.013760337;-0.01901402;-0.002815847
2465081.75; A.D. 2037-Jan-23 06:00:00.0000;-0.321358458;-0.311426085;0.004010705;0.013848992;-0.018928477;-0.002816984
2465081.833; A.D. 2037-Jan-23 08:00:00.0000;-0.320200698;-0.312999884;0.003775911;0.013937172;-0.018842653;-0.002818054
2465081.917; A.D. 2037-Jan-23 10:00:00.0000;-0.31903561;-0.314566519;0.003541031;0.014024876;-0.01875655;-0.002819058
