JDTDB;Calendar Date (TDB);X;Y;Z;VX;VY;VZ
2464885; A.D. 2036-Jul-10 12:00:00.0000;0.508131594;-0.52036353;-0.036480582;0.014339936;0.014055816;-0.000633797
2464885.083; A.D. 2036-Jul-10 14:00:00.0000;0.509325235;-0.519190828;-0.036533301;0.014307451;0.014089006;-0.000631466
2464885.167; A.D. 2036-Jul-10 16:00:00.0000;0.510516167;-0.518015364;-0.036585826;0.01427489;0.014122121;-0.000629132
2464885.25; A.D. 2036-Jul-10 18:00:00.0000;0.511704382;-0.516837144;-0.036638156;0.014242253;0.014155161;-0.000626794
2464885.333; A.D. 2036-Jul-10 20:00:00.0000;0.512889874;-0.515656173;-0.036690292;0.01420954;0.014188126;-0.000624453
2464885.417; A.D. 2036-Jul-10 22:00:00.0000;0.514072636;-0.514472458;-0.036742232;0.014176751;0.014221015;-0.000622108
2464885.5; A.D. 2036-Jul-11 00:00:00.0000;0.515252663;-0.513286006;-0.036793976;0.014143887;0.014253829;-0.00061976
2464885.583; A.D. 2036-Jul-11 02:00:00.0000;0.516429949;-0.512096822;-0.036845525;0.014110947;0.014286567;-0.000617409
2464885.667; A.D. 2036-Jul-11 04:00:00.0000;0.517604486;-0.510904913;-0.036896878;0.014077933;0.014319229;-0.000615054
2464885.75; A.D. 2036-Jul-11 06:00:00.0000;0.518776269;-0.509710286;-0.036948034;0.014044843;0.014351815;-0.000612697
2464885.833; A.D. 2036-Jul-11 08:00:00.0000;0.519945291;-0.508512946;-0.036998994;0.014011678;0.014384324;-0.000610336
2464885.917; A.D. 2036-Jul-11 10:00:00.0000;0.521111546;-0.507312901;-0.037049756;0.013978439;0.014416757;-0.000607971
2464886; A.D. 2036-Jul-11 12:00:00.0000;0.522275029;-0.506110156;-0.037100322;0.013945125;0.014449114;-0.000605604
2464886.083; A.D. 2036-Jul-11 14:00:00.0000;0.523435732;-0.504904717;-0.03715069;0.013911737;0.014481394;-0.000603233
2464886.167; A.D. 2036-Jul-11 16:00:00.0000;0.52459365;-0.503696592;-0.037200861;0.013878275;0.014513597;-0.000600859
2464886.25; A.D. 2036-Jul-11 18:00:00.0000;0.525748776;-0.502485787;-0.037250833;0.013844739;0.014545722;-0.000598482
2464886.333; A.D. 2036-Jul-11 20:00:00.0000;0.526901104;-0.501272307;-0.037300608;0.013811129;0.014577771;-0.000596102
2464886.417; A.D. 2036-Jul-11 22:00:00.0000;0.528050628;-0.50005616;-0.037350184;0.013777445;0.014609742;-0.000593718
2464886.5; A.D. 2036-Jul-12 00:00:00.0000;0.529197343;-0.498837352;-0.037399561;0.013743688;0.014641635;-0.000591331
2464886.583; A.D. 2036-Jul-12 02:00:00.0000;0.530341241;-0.49761589;-0.037448739;0.013709857;0.014673451;-0.000588942
2464886.667; A.D. 2036-Jul-12 04:00:00.0000;0.531482317;-0.496391779;-0.037497718;0.013675954;0.014705188;-0.000586549
2464886.75; A.D. 2036-Jul-12 06:00:00.0000;0.532620565;-0.495165027;-0.037546497;0.013641978;0.014736848;-0.000584152
2464886.833; A.D. 2036-Jul-12 08:00:00.0000;0.533755978;-0.49393564;-0.037595076;0.013607928;0.014768429;-0.000581753
2464886.917; A.D. 2036-Jul-12 10:00:00.0000;0.534888551;-0.492703625;-0.037643456;0.013573807;0.014799932;-0.000579351
2464887; A.D. 2036-Jul-12 12:00:00.0000;0.536018277;-0.491468987;-0.037691635;0.013539613;0.014831356;-0.000576945
2464887.083; A.D. 2036-Jul-12 14:00:00.0000;0.537145151;-0.490231734;-0.037739613;0.013505346;0.014862701;-0.000574537
2464887.167; A.D. 2036-Jul-12 16:00:00.0000;0.538269166;-0.488991873;-0.037787391;0.013471008;0.014893968;-0.000572125
2464887.25; A.D. 2036-Jul-12 18:00:00.0000;0.539390317;-0.487749409;-0.037834967;0.013436598;0.014925155;-0.00056971
2464887.333; A.D. 2036-Jul-12 20:00:00.0000;0.540508597;-0.486504349;-0.037882342;0.013402116;0.014956263;-0.000567293
